repo	relpath	line	matched_patterns	text
AutoDock-GPU	README.md	9	cuda	* OpenCL and Cuda accelerated version of AutoDock4.2.6. It leverages its embarrasingly parallelizable LGA by processing ligand-receptor poses in parallel over multiple compute units.
AutoDock-GPU	README.md	11	nvidia,cuda	* The Cuda version was developed in collaboration with Nvidia to run AutoDock-GPU on the Oak Ridge National Laboratory's (ORNL) Summit, and it included a batched ligand pipeline developed by Aaron Scheinberg from Jubilee Development.
AutoDock-GPU	README.md	23	cuda	* Cuda and OpenCL paths to support a wide variety of target platforms based on GPU as well as multicore CPU accelerators.
AutoDock-GPU	README.md	25	cuda	* A batched ligand pipeline to run virtual screenings on the same receptor (both OpenCL and Cuda)
AutoDock-GPU	README.md	31	cuda	|CentOS 6.7 & 6.8 / Ubuntu 14.04 & 16.04   | Intel SDK for OpenCL 2017    | OpenCL / CUDA >= 11                            |
AutoDock-GPU	README.md	35	cuda	Other environments or configurations likely work as well, but are untested. AutoDock-GPU since commit 846dc2b requires a C++17-capable compiler, which in practice means GCC >= 9. This also means the minimum version supported for Cuda-compilation is Cuda 11, however, since all versions of Cuda also come with OpenCL older versions can still be used using the OpenCL code path (`DEVICE=OCLGPU`).
AutoDock-GPU	README.md	48	cuda	| `<TYPE>`   | Accelerator chosen           | `CPU`, `GPU`, `CUDA`, `OCLGPU`, `OPENCL`           |
AutoDock-GPU	README.md	51	cuda	When `DEVICE=GPU` is chosen, the Makefile will automatically tests if it can compile Cuda succesfully. To override, use `DEVICE=CUDA` or `DEVICE=OCLGPU`. The cpu target is only supported using OpenCL. Furthermore, an OpenMP-enabled overlapped pipeline (for setup and processing) can be compiled with `OVERLAP=ON`.
AutoDock-GPU	README.md	110	cuda	|--devnum           |-D | OpenCL/Cuda device number (counting starts at 1)      | 1                |
AutoDock-GPU	README.md	179	gpu_requirement	AutoDock-GPU requires [Meeko](https://github.com/forlilab/meeko) for
BindCraft	README.md	15	nvidia,cuda	The navigate into your install folder using *cd* and run the installation code. BindCraft requires a CUDA-compatible Nvidia graphics card to run. In the *cuda* setting, please specify the CUDA version compatible with your graphics card, for example '11.8'. If unsure, leave blank but it's possible that the installation might select the wrong version, which will lead to errors. In *pkg_manager* specify whether you are using 'mamba' or 'conda', if left blank it will use 'conda' by default.
BindCraft	README.md	19	cuda	`bash install_bindcraft.sh --cuda '12.4' --pkg_manager 'conda'`
BindCraft	README.md	25	gpu_memory,min_memory	We prepared a convenient google colab notebook to test the bindcraft code functionalities. However, as the pipeline requires significant amount of GPU memory to run for larger target+binder complexes, we highly recommend to run it using a local installation and at least 32 Gb of GPU memory.
BindCraft	README.md	27	gpu_memory,memory_footprint	**Always try to trim the input target PDB to the smallest size possible! It will significantly speed up the binder generation and minimise the GPU memory requirements.**
BindFlow	docs/source/guides/customizing.md	135	nvidia	- module load nvidia/latest
BindFlow	docs/source/guides/customizing.md	490	min_memory	Additionally, note that a high amount of memory is allocated for the execution of calculations (`cluster/options/mem = 10GB`). This is necessary because [gmx_MMPBSA](https://valdes-tresanco-ms.github.io/gmx_MMPBSA/dev/) is memory-intensive, as it uses MPI to process frames in parallel. As a general rule, allocate at least 1 GB of memory per thread specified in the `{py:func}`bindflow.runners.calculate` function.
