repo,relpath,reason,matched_patterns,size_bytes,sha256,source
AutoDock-GPU,README.md,readme,"nvidia,cuda,gpu_requirement",14012,7a8d3bf144bea4a5bf4c14b743d376dcbf3b8d1e68894a7177cfc569ebabd89f,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/AutoDock-GPU/README.md
AutoDock-Vina,README.md,readme,,2197,4f1728521ab79de1c33e1cf8605b31037effed5de2a2fbbccba58d7b0a005ae7,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/AutoDock-Vina/README.md
BindCraft,README.md,readme,"gpu_memory,nvidia,cuda,min_memory,memory_footprint",16916,fbd31d823a3fead3be2aa2f93901aeec723bc07cb600a5f89cd5408dd3158307,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/BindCraft/README.md
BindFlow,README.rst,readme,,5846,76a7016ce1995ab20c5c1fd36d6cd4f3f8c1e37018452b1176669dc5abb63672,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/BindFlow/README.rst
BindFlow,docs/source/guides/customizing.md,content,"nvidia,min_memory",14288,bd0e90b7da5c28d88bab46f29b95a7e3b82add469f51f848a4de6b3e553a45a1,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/BindFlow/docs/source/guides/customizing.md
BindFlow,docs/source/guides/deploy.md,content,gpu_requirement,5076,7dc9cc0fd14e933b023fa1d836a2505a9f14996e020f0dc34f555be1bb9c1ad5,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/BindFlow/docs/source/guides/deploy.md
BindFlow,docs/source/guides/performance/index.md,content,"consumer_gpu,nvidia,disk",22707,1ddd6d26a3a81351bb6668eb33e4beff6b7b86478b36d71b9c814e6b59aca5b7,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/BindFlow/docs/source/guides/performance/index.md
BindFlow,docs/source/installation.md,content,cuda,8933,e96a30522785077f68839f70b8f1eb1ba42c4385bfdd53ec8c40e90cf67450a0,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/BindFlow/docs/source/installation.md
ColabFold,README.md,readme,"gpu_memory,cuda,gpu_requirement,min_memory",19354,1d30c804f2d609c774f1f8b4c4a2f730ad96566c479716231e3bda7ad850be92,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/ColabFold/README.md
DeepRank-Ab,readme.md,readme,,2891,ed10c86efcbfc6ad9a5ce0efbbb093741bd4eac13f5523ce7ae819f77f0344ce,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/DeepRank-Ab/readme.md
DiffDock,README.md,readme,"nvidia,cuda",14229,6f63088d85b5f05d58416ede319387c1b7f3661b27741a36314ada861f2056de,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/DiffDock/README.md
DiffDock,requirements.txt,content,nvidia,778,902035afcfbbb837949facfe04fd299fd60cb6b7bab134b0f2c7c0ee0759856c,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/DiffDock/requirements.txt
DiffDock-PP,README.md,readme,"nvidia,cuda",5956,c0169bfad5f7cddbb3cc08f6aef2854e932307e214ec43e4a9175263d6bb17a2,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/DiffDock-PP/README.md
DockQ,README.md,readme,,10833,b083cf2b000124c85d2b9ccbcd35b19f8d47ee6f4b4ae65b121d435e46aced51,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/DockQ/README.md
DrugHIVE,README.md,readme,"nvidia,cuda",4224,8067c396163e9dc0cae79805d96d4d6ad55d7e5e7f64714ea9d30b98d70a4c35,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/DrugHIVE/README.md
DrugHIVE,requirements.txt,content,cuda,227,3be60ff2bc850c4b1b463e94fa18c6a0fe0b4fac77e987637a3a9cc8c1770cfc,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/DrugHIVE/requirements.txt
FlowMol,readme.md,readme,cuda,8184,6e007b110d309a829edbba2f2f03e9b0ef4a5d00267d51a64a3532edbb79da4a,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/FlowMol/readme.md
IgGM,README-zh.md,readme,,13068,73920790e782a0aaac56f4f8b12d6d6a915bdc3e890ccd811d7ac421178be23f,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/IgGM/README-zh.md
IgGM,README.md,readme,,14067,a0c63b94d125a99c6135ee102f23cfe99af3bbf5f7e90e69f52aaa10cd47ba66,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/IgGM/README.md
ImmuneBuilder,README.md,readme,,7259,b0486278bd05ddd1550dbcb55c3acc2930ae90ca1c308aef4f497c2537cd6dd2,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/ImmuneBuilder/README.md
LASErMPNN,README.md,readme,"gpu_memory,cuda",14122,f3af839760b2f6956bbecdfebc76e39bba5b23a42e0d7440149da561fd232eeb,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/LASErMPNN/README.md
LigandMPNN,README.md,readme,datacenter_gpu,24467,52d37fc1b25fc5a8d421bfcaf7cdf8cfe61cafcb5100af88f3723cc9b20a4272,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/LigandMPNN/README.md
LigandMPNN,requirements.txt,content,"nvidia,cuda",639,25caec9f63caec7a545217e7fe3110280d9f881a718e2c89d102545356cf3fbb,/home/zhiheng/Documents/Work/Noah/Tasks/Project/bioagent/opensource/LigandMPNN/requirements.txt
