service,endpoint,method,is_task,content_type,n_fields,n_file_fields,n_optional_params,field_desc_frac,has_operation_id,typed_params,file_fields,defaults,machine_view,docs_text,score
alphafold,/api/fold,POST,0,multipart/form-data,10,1,8,0.0,0,1,1,1,1,1,1.0
alphafold,/api/tasks/fold,POST,1,multipart/form-data,10,1,8,0.0,0,1,1,1,1,1,1.0
boltz,/api/predict_affinity,POST,0,multipart/form-data,26,3,22,0.154,0,1,1,1,1,1,1.0
boltz,/api/predict_structure,POST,0,multipart/form-data,22,3,19,0.136,0,1,1,1,1,1,1.0
boltz,/api/tasks/predict_affinity,POST,1,multipart/form-data,26,3,22,0.154,0,1,1,1,1,1,1.0
boltz,/api/tasks/predict_structure,POST,1,multipart/form-data,22,3,19,0.136,0,1,1,1,1,1,1.0
boltzgen,/api/design,POST,0,multipart/form-data,19,2,16,0.789,0,1,1,1,1,1,1.0
boltzgen,/api/inverse_fold,POST,0,multipart/form-data,19,2,16,0.789,0,1,1,1,1,1,1.0
boltzgen,/api/tasks/design,POST,1,multipart/form-data,19,2,16,0.789,0,1,1,1,1,1,1.0
boltzgen,/api/tasks/inverse_fold,POST,1,multipart/form-data,19,2,16,0.789,0,1,1,1,1,1,1.0
chembounce,/api/scaffold_hop,POST,0,application/x-www-form-urlencoded,23,0,22,0.435,0,1,1,0,1,1,0.8
chembounce,/api/tasks/scaffold_hop,POST,1,application/x-www-form-urlencoded,23,0,22,0.435,0,1,1,0,1,1,0.8
deeprank-ab,/api/score,POST,0,multipart/form-data,5,1,3,0.6,0,1,1,1,1,1,1.0
deeprank-ab,/api/tasks/score,POST,1,multipart/form-data,5,1,3,0.6,0,1,1,1,1,1,1.0
diffdock,/api/dock,POST,0,multipart/form-data,14,2,10,0.857,0,1,1,1,1,1,1.0
diffdock,/api/tasks/dock,POST,1,multipart/form-data,14,2,10,0.857,0,1,1,1,1,1,1.0
diffdock-pp,/api/dock,POST,0,multipart/form-data,11,2,7,0.636,0,1,1,1,1,1,1.0
diffdock-pp,/api/tasks/dock,POST,1,multipart/form-data,11,2,7,0.636,0,1,1,1,1,1,1.0
diffusion-hopping,/api/generate,POST,0,multipart/form-data,6,2,2,0.333,0,1,1,1,1,1,1.0
diffusion-hopping,/api/tasks/generate,POST,1,multipart/form-data,6,2,2,0.333,0,1,1,1,1,1,1.0
dockq,/api/score,POST,0,multipart/form-data,12,2,8,0.667,0,1,1,1,1,1,1.0
dockq,/api/score_batch,POST,0,multipart/form-data,13,2,10,0.692,0,1,1,1,1,1,1.0
dockq,/api/tasks/score,POST,1,multipart/form-data,12,2,8,0.667,0,1,1,1,1,1,1.0
dockq,/api/tasks/score_batch,POST,1,multipart/form-data,13,2,10,0.692,0,1,1,1,1,1,1.0
drughive,/api/generate,POST,0,multipart/form-data,12,2,8,0.25,0,1,1,1,1,1,1.0
drughive,/api/generate_spatial,POST,0,multipart/form-data,15,3,9,0.133,0,1,1,1,1,1,1.0
drughive,/api/optimize,POST,0,multipart/form-data,24,3,18,0.25,0,1,1,1,1,1,1.0
drughive,/api/tasks/generate,POST,1,multipart/form-data,12,2,8,0.25,0,1,1,1,1,1,1.0
drughive,/api/tasks/generate_spatial,POST,1,multipart/form-data,15,3,9,0.133,0,1,1,1,1,1,1.0
drughive,/api/tasks/optimize,POST,1,multipart/form-data,24,3,18,0.25,0,1,1,1,1,1,1.0
esmfold2,/api/fold,POST,0,multipart/form-data,8,1,6,0.0,0,1,1,1,1,1,1.0
esmfold2,/api/tasks/fold,POST,1,multipart/form-data,9,1,7,0.111,0,1,1,1,1,1,1.0
flowmol,/api/generate,POST,0,application/x-www-form-urlencoded,8,0,8,1.0,0,1,1,1,1,1,1.0
flowmol,/api/tasks/generate,POST,1,application/x-www-form-urlencoded,8,0,8,1.0,0,1,1,1,1,1,1.0
genie3,/api/generate,POST,0,multipart/form-data,3,1,1,1.0,0,1,1,1,1,1,1.0
genie3,/api/generate/binder,POST,0,multipart/form-data,6,1,5,0.5,0,1,1,1,1,1,1.0
genie3,/api/generate/motif,POST,0,multipart/form-data,6,1,5,0.5,0,1,1,1,1,1,1.0
genie3,/api/generate/unconditional,POST,0,application/x-www-form-urlencoded,7,0,7,0.286,0,1,1,1,1,1,1.0
genie3,/api/tasks/generate,POST,1,multipart/form-data,4,1,1,0.5,0,1,1,1,1,1,1.0
genie3,/api/tasks/generate/binder,POST,1,multipart/form-data,7,1,5,0.571,0,1,1,1,1,1,1.0
genie3,/api/tasks/generate/motif,POST,1,multipart/form-data,7,1,5,0.571,0,1,1,1,1,1,1.0
genie3,/api/tasks/generate/unconditional,POST,1,application/x-www-form-urlencoded,7,0,7,0.286,0,1,1,1,1,1,1.0
iggm,/api/affinity-maturation,POST,0,multipart/form-data,13,3,7,0.538,0,1,1,1,1,1,1.0
iggm,/api/design,POST,0,multipart/form-data,12,2,8,0.667,0,1,1,1,1,1,1.0
iggm,/api/epitope,POST,0,multipart/form-data,4,2,0,0.0,0,1,1,1,1,1,1.0
iggm,/api/tasks/affinity-maturation,POST,1,multipart/form-data,13,3,7,0.538,0,1,1,1,1,1,1.0
iggm,/api/tasks/design,POST,1,multipart/form-data,12,2,8,0.667,0,1,1,1,1,1,1.0
iggm,/api/tasks/epitope,POST,1,multipart/form-data,4,2,0,0.0,0,1,1,1,1,1,1.0
immunebuilder,/api/predict_antibody,POST,0,application/x-www-form-urlencoded,7,0,5,0.429,0,1,1,1,1,1,1.0
immunebuilder,/api/predict_nanobody,POST,0,application/x-www-form-urlencoded,6,0,5,0.5,0,1,1,1,1,1,1.0
immunebuilder,/api/predict_tcr,POST,0,application/x-www-form-urlencoded,7,0,5,0.429,0,1,1,1,1,1,1.0
immunebuilder,/api/tasks/predict_antibody,POST,1,application/x-www-form-urlencoded,7,0,5,0.429,0,1,1,1,1,1,1.0
immunebuilder,/api/tasks/predict_nanobody,POST,1,application/x-www-form-urlencoded,6,0,5,0.5,0,1,1,1,1,1,1.0
immunebuilder,/api/tasks/predict_tcr,POST,1,application/x-www-form-urlencoded,7,0,5,0.429,0,1,1,1,1,1,1.0
lightdock,/api/dock,POST,0,multipart/form-data,19,3,13,0.684,0,1,1,1,1,1,1.0
lightdock,/api/tasks/dock,POST,1,multipart/form-data,19,3,13,0.684,0,1,1,1,1,1,1.0
megalodon,/api/generate,POST,0,application/x-www-form-urlencoded,6,0,6,1.0,0,1,1,1,1,1,1.0
megalodon,/api/models,GET,0,,0,0,0,1.0,0,1,1,1,1,1,1.0
megalodon,/api/tasks/generate,POST,1,application/x-www-form-urlencoded,6,0,6,1.0,0,1,1,1,1,1,1.0
mmseqs2,/api/tasks/msa,POST,1,application/x-www-form-urlencoded,2,0,2,0.0,0,1,1,1,1,1,1.0
mmseqs2,/api/tasks/pair,POST,1,application/x-www-form-urlencoded,2,0,2,0.0,0,1,1,1,1,1,1.0
mmseqs2,/result/download/{job_id},GET,0,,0,0,0,1.0,0,1,1,1,1,1,1.0
mmseqs2,/ticket/msa,POST,0,application/x-www-form-urlencoded,2,0,2,0.0,0,1,1,1,1,1,1.0
