service,listed,manifest_ok,error,version,n_endpoints,n_task_endpoints
alphafold,1,1,,0.0.6,2,1
boltz,1,1,,0.0.13,4,2
boltzgen,1,1,,0.0.14,4,2
chembounce,1,1,,0.0.5,2,1
deeprank-ab,1,1,,0.0.12,2,1
diffdock,1,1,,0.0.5,2,1
diffdock-pp,1,1,,0.0.10,2,1
diffusion-hopping,1,1,,0.0.4,2,1
dockq,1,1,,0.0.13,4,2
drughive,1,1,,0.0.7,6,3
esmfold2,1,1,,0.0.7,2,1
flowmol,1,1,,0.0.4,2,1
genie3,1,1,,0.0.21,8,4
iggm,1,1,,0.0.4,6,3
immunebuilder,1,1,,0.0.9,6,3
lightdock,1,1,,0.0.2,2,1
megalodon,1,1,,0.0.4,3,1
mmseqs2,1,1,,0.0.6,6,2
openadmet,1,1,,0.0.8,5,2
openbpmd,1,1,,0.0.4,2,1
plip,1,1,,0.0.2,2,1
pocketxmol,1,1,,0.0.4,12,6
ppiflow,1,1,,0.0.14,10,5
promera,1,1,,0.0.6,4,2
proteinmpnn,1,1,,0.0.16,6,3
reinvent,1,1,,0.0.6,10,5
rfantibody,1,1,,0.0.22,6,3
rfdiffusion,1,1,,0.0.13,10,5
rfdiffusion2,1,1,,0.0.21,6,3
semlaflow,1,1,,0.0.4,3,1
