service,status,version,n_endpoints,n_task_endpoints,score_task,score_all,pct_full_task,pct_full_all,above_threshold
alphafold,audited,0.0.6,2,1,1.0,1.0,100.0,100.0,1
boltz,audited,0.0.13,4,2,1.0,1.0,100.0,100.0,1
boltzgen,audited,0.0.14,4,2,1.0,1.0,100.0,100.0,1
deeprank-ab,audited,0.0.12,2,1,1.0,1.0,100.0,100.0,1
diffdock,audited,0.0.5,2,1,1.0,1.0,100.0,100.0,1
diffdock-pp,audited,0.0.10,2,1,1.0,1.0,100.0,100.0,1
diffusion-hopping,audited,0.0.4,2,1,1.0,1.0,100.0,100.0,1
dockq,audited,0.0.13,4,2,1.0,1.0,100.0,100.0,1
drughive,audited,0.0.7,6,3,1.0,1.0,100.0,100.0,1
esmfold2,audited,0.0.7,2,1,1.0,1.0,100.0,100.0,1
flowmol,audited,0.0.4,2,1,1.0,1.0,100.0,100.0,1
genie3,audited,0.0.21,8,4,1.0,1.0,100.0,100.0,1
iggm,audited,0.0.4,6,3,1.0,1.0,100.0,100.0,1
immunebuilder,audited,0.0.9,6,3,1.0,1.0,100.0,100.0,1
lightdock,audited,0.0.2,2,1,1.0,1.0,100.0,100.0,1
megalodon,audited,0.0.4,3,1,1.0,1.0,100.0,100.0,1
mmseqs2,audited,0.0.6,6,2,1.0,1.0,100.0,100.0,1
openadmet,audited,0.0.8,5,2,1.0,1.0,100.0,100.0,1
openbpmd,audited,0.0.4,2,1,1.0,1.0,100.0,100.0,1
plip,audited,0.0.2,2,1,1.0,1.0,100.0,100.0,1
pocketxmol,audited,0.0.4,12,6,1.0,1.0,100.0,100.0,1
ppiflow,audited,0.0.14,10,5,1.0,1.0,100.0,100.0,1
promera,audited,0.0.6,4,2,1.0,1.0,100.0,100.0,1
proteinmpnn,audited,0.0.16,6,3,1.0,1.0,100.0,100.0,1
reinvent,audited,0.0.6,10,5,1.0,1.0,100.0,100.0,1
rfantibody,audited,0.0.22,6,3,1.0,1.0,100.0,100.0,1
rfdiffusion,audited,0.0.13,10,5,1.0,1.0,100.0,100.0,1
rfdiffusion2,audited,0.0.21,6,3,1.0,1.0,100.0,100.0,1
semlaflow,audited,0.0.4,3,1,1.0,1.0,100.0,100.0,1
chembounce,audited,0.0.5,2,1,0.8,0.8,0.0,0.0,0
