service,alphafold-server,bindflow-server,boltz-server,boltzgen-server,chembounce-server,deeprank-ab-server,diffdock-server,diffusion-hopping-server,dockq-server,drughive-server,esmfold2-server,flowmol-server,genie3-server,haddock3-server,iggm-server,immunebuilder-server,lasermpnn-server,lightdock-server,megalodon-server,odesign-server,openadmet-server,plip-server,pocketxmol-server,ppiflow-server,promera-server,qligfep-server,reinvent-server,rfantibody-server,rfdiffusion-server,rfdiffusion2-server,semlaflow-server,turbohopp-server
alphafold-server,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,1,4,3,0,2,0,0,0,0,1
bindflow-server,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,1,1,0
boltz-server,1,0,0,1,3,2,4,5,0,3,0,2,1,1,1,0,0,0,1,4,0,0,5,4,5,0,1,1,1,3,0,3
boltzgen-server,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,2,0,0,1,2,1,1,0,2,0,1,1,2
chembounce-server,1,0,3,0,0,26,3,0,0,2,0,12,0,0,11,0,0,0,0,16,0,0,3,23,2,9,2,0,0,1,1,5
deeprank-ab-server,0,1,2,1,26,0,2,2,0,2,0,32,1,6,24,0,0,0,0,15,0,0,4,24,4,11,4,1,0,4,1,21
diffdock-server,0,1,4,1,3,2,0,0,0,2,1,5,1,1,4,0,0,0,7,6,0,0,3,12,5,1,3,2,1,2,1,10
diffusion-hopping-server,0,0,5,1,0,2,0,0,0,2,0,7,1,2,3,0,0,0,3,4,0,1,3,6,4,0,3,1,1,4,2,5
dockq-server,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
drughive-server,0,1,3,1,2,2,2,2,0,0,0,4,1,4,3,0,0,0,2,3,0,1,4,3,4,0,3,0,0,3,2,2
esmfold2-server,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flowmol-server,0,0,2,1,12,32,5,7,0,4,0,0,0,0,25,0,0,0,2,19,0,0,5,29,2,9,1,1,1,3,0,12
genie3-server,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,2,0,1,1,0
haddock3-server,2,1,1,0,0,6,1,2,1,4,0,0,0,0,3,0,0,0,0,3,0,0,4,4,1,0,1,1,0,7,1,1
iggm-server,1,0,1,1,11,24,4,3,0,3,0,25,1,3,0,0,0,0,0,38,0,0,4,36,6,10,2,0,0,3,1,11
immunebuilder-server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
lasermpnn-server,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lightdock-server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
megalodon-server,0,0,1,0,0,0,7,3,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,7,4,0,2,2,1,4,0,7
odesign-server,3,0,4,2,16,15,6,4,0,3,0,19,1,3,38,0,0,0,1,0,0,0,7,9,10,4,4,1,1,6,0,23
openadmet-server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plip-server,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
pocketxmol-server,1,1,5,1,3,4,3,3,0,4,0,5,1,4,4,1,1,1,2,7,0,1,0,9,4,0,4,0,0,6,4,6
ppiflow-server,4,1,4,2,23,24,12,6,1,3,0,29,2,4,36,0,0,0,7,9,0,1,9,0,11,9,6,3,2,7,1,28
promera-server,3,1,5,1,2,4,5,4,1,4,0,2,0,1,6,0,0,0,4,10,0,0,4,11,0,0,1,3,1,6,2,8
qligfep-server,0,0,0,1,9,11,1,0,0,0,0,9,0,0,10,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,10
reinvent-server,2,2,1,0,2,4,3,3,1,3,0,1,0,1,2,0,0,0,2,4,0,0,4,6,1,0,0,2,0,4,2,3
rfantibody-server,0,0,1,2,0,1,2,1,0,0,0,1,2,1,0,1,0,0,2,1,0,0,0,3,3,0,2,0,0,2,0,2
rfdiffusion-server,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,2,0,1
rfdiffusion2-server,0,1,3,1,1,4,2,4,0,3,0,3,1,7,3,0,0,0,4,6,0,1,6,7,6,0,4,2,2,0,2,3
semlaflow-server,0,1,0,1,1,1,1,2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,4,1,2,0,2,0,0,2,0,0
turbohopp-server,1,0,3,2,5,21,10,5,0,2,0,12,0,1,11,0,0,0,7,23,0,1,6,28,8,10,3,2,1,3,0,0
