package,n_services,n_versions,conflicting_pairs,versions
numpy,26,24,323,"<2:2|*:2|1.24.3:1|>=1.26,<2.0:1|2.0.2:1|==1.24.4=py38h59b608b_0,>=1.24,<2.0:1|1.25.0:1|1.24.1:1|<2.0:1|1.22.3:1|1.26.3=py310hb13e2d6_0:1|>=2.0.2,<3:1|==2.*:1|1.23.5:1|1.26.3:1|>=1.13.3:1|1.24:1|==1.22.4,==1.26.3:1|>=2.4.2:1|1.22.3=py310h4ef5377_2:1|>=2,<3:1|>=1.0,<2.0:1|1.26.2:1|1.26.4=py310hb13e2d6_0:1"
pandas,24,16,257,"*:6|2.2.3:3|1.5.2:2|>=2.2.2:1|==2.0.3=py38h01efb38_1,>=2.0,<3.0:1|2.0.2:1|1.5.1:1|1.4.1:1|2.2.0=py310hcc13569_0:1|==2.*:1|2.2.2=py310hf9f9076_1:1|>=3.0.0:1|>=3,<4:1|1.5.0:1|2.2.2:1|2.2.1:1"
scipy,19,14,165,"*:3|1.13.1:2|1.12.0:2|1.15.2:2|==1.10.1,>=1.10,<2.0:1|1.10.1:1|1.8.0:1|1.12.0=py310hb13e2d6_2:1|>=1.10.0:1|1.14.0=py310h93e2701_1:1|>=1.6:1|>=1.7.0:1|==1.8.0,==1.10.1:1|1.11.4:1"
rdkit,18,13,145,"*:4|2025.3.2:2|2023.3.1:2|>=2024.3.2:1|==2020.09.5=py38h2bca085_0,==2020.09.5:1|2022.03.3:1|2022.09.3:1|2021.09.5:1|2023.9.3:1|2024.9.6:1|>=2025.09.1:1|2024.3.5:1|2023.9.5:1"
python,15,13,103,"3.9.16:2|3.11:2|==3.10.*:1|==3.8.19=hd12c33a_0_cpython,==3.8:1|3.9.18:1|3.10.8:1|3.10.13=hd12c33a_1_cpython:1|3.10.14=hd12c33a_0_cpython:1|>=3.8:1|==3.8,==3.10:1|3.10.13:1|3.10.4=h2660328_0_cpython:1|3.10.8=h4a9ceb5_0_cpython:1"
wandb,15,10,97,"*:4|0.19.8:2|0.12.0:2|0.18.7:1|0.14.0:1|0.16.2:1|0.19.11:1|>=0.24.2:1|==0.13.10,==0.12.0:1|0.16.5:1"
biopython,15,9,93,1.83:5|1.79:2|*:2|1.84:1|1.85:1|1.80:1|>=1.79:1|<1.86:1|==1.*:1
torch,14,14,91,>=2.2:1|>=2.4.1:1|1.13.1+cu117:1|>=2.2.0:1|2.7.1:1|>=1.8:1|2.7.0:1|2.3.1:1|2.3.1+cu121:1|2.9.0:1|2.12.0:1|==2.3.*:1|*:1|2.2.2:1
scikit-learn,14,10,86,"*:3|1.2.2:2|1.1.0:2|1.6.1:1|==1.3.2,>=1.3,<2.0:1|1.1.2:1|1.5.1=py310h146d792_0:1|1.7.2:1|>=1.8.0:1|1.4.1.post1:1"
tqdm,14,9,85,"*:3|4.65.0:2|4.64.1:2|4.67.1:2|4.66.1=pyhd8ed1ab_0:1|4.66.4=pyhd8ed1ab_0:1|4.64.0:1|>=4.64,<5:1|4.66.2:1"
