service_a,service_b,n_shared,n_conflict,n_hard,n_soft,coinstallable,reconcilable,hard_conflict_packages
alphafold-server,bindflow-server,2,2,0,2,False,True,
alphafold-server,boltz-server,3,3,1,2,False,False,"numpy(1.24.3|>=1.26,<2.0:range)"
alphafold-server,boltzgen-server,4,4,1,3,False,False,numpy(1.24.3|2.0.2:major)
alphafold-server,chembounce-server,3,3,1,2,False,False,"matplotlib(3.8.0|==3.7.5,>=3.7,<4.0:range)"
alphafold-server,deeprank-ab-server,5,5,0,5,False,True,
alphafold-server,diffdock-server,1,1,0,1,False,True,
alphafold-server,diffusion-hopping-server,2,2,0,2,False,True,
alphafold-server,dockq-server,3,3,0,3,False,True,
alphafold-server,drughive-server,1,1,0,1,False,True,
alphafold-server,esmfold2-server,1,1,0,1,False,True,
alphafold-server,flowmol-server,2,2,0,2,False,True,
alphafold-server,genie3-server,3,3,1,2,False,False,"numpy(1.24.3|>=2.0.2,<3:range)"
alphafold-server,haddock3-server,3,3,2,1,False,False,numpy(1.24.3|==2.*:range); pytest(<8.5.0|9.1.1:range)
alphafold-server,iggm-server,7,6,1,5,False,False,absl-py(1.0.0|2.1.0:major)
alphafold-server,immunebuilder-server,1,1,0,1,False,True,
alphafold-server,lasermpnn-server,3,3,0,3,False,True,
alphafold-server,lightdock-server,0,0,0,0,True,True,
alphafold-server,megalodon-server,0,0,0,0,True,True,
alphafold-server,odesign-server,6,6,3,3,False,False,absl-py(1.0.0|2.1.0:major); ml-collections(0.1.0|1.0.0:major); setuptools(<72.0.0|75.8.2:range)
alphafold-server,openadmet-server,1,1,0,1,False,True,
alphafold-server,plip-server,1,1,0,1,False,True,
alphafold-server,pocketxmol-server,5,5,1,4,False,False,openmm(8.2.0|0.2:major)
alphafold-server,ppiflow-server,7,7,4,3,False,False,"absl-py(1.0.0|2.1.0:major); ml-collections(0.1.0|1.0.0:major); numpy(1.24.3|==1.22.4,==1.26.3:range); setuptools(<72.0.0|75.8.0:range)"
alphafold-server,promera-server,3,3,3,0,False,False,matplotlib(3.8.0|>=3.10.9:range); ml-collections(0.1.0|>=1.1.0:range); numpy(1.24.3|>=2.4.2:range)
alphafold-server,qligfep-server,2,2,0,2,False,True,
alphafold-server,reinvent-server,3,3,2,1,False,False,"numpy(1.24.3|>=2,<3:range); pytest(<8.5.0|>=9.0.3:range)"
alphafold-server,rfantibody-server,2,2,0,2,False,True,
alphafold-server,rfdiffusion-server,0,0,0,0,True,True,
alphafold-server,rfdiffusion2-server,5,5,0,5,False,True,
alphafold-server,semlaflow-server,1,1,0,1,False,True,
alphafold-server,turbohopp-server,7,7,1,6,False,False,absl-py(1.0.0|2.1.0:major)
bindflow-server,boltz-server,5,4,0,4,False,True,
