service,alphafold-server,bindflow-server,boltz-server,boltzgen-server,chembounce-server,deeprank-ab-server,diamond-server,diffdock-pp-server,diffdock-server,diffusion-hopping-server,dockq-server,drughive-server,ensemble-server,esmfold2-server,flowmol-server,genie3-server,iggm-server,immunebuilder-server,lightdock-server,megalodon-server,mmseqs2-server,openadmet-server,openbpmd-server,plip-server,pocketxmol-server,ppiflow-server,promera-server,proteinmpnn-server,qligfep-server,reinvent-server,rfantibody-server,rfdiffusion-server,rfdiffusion2-server,semlaflow-server
alphafold-server,0,6,2,2,2,2,2,4,4,4,0,3,2,2,3,6,3,3,1,5,0,4,2,0,3,15,7,2,3,5,1,3,3,3
bindflow-server,6,0,5,6,4,2,4,5,5,6,2,4,2,6,4,4,2,3,3,5,1,6,2,3,5,17,8,2,12,6,1,3,10,4
boltz-server,2,5,0,3,1,4,2,6,8,7,0,5,2,1,7,6,3,3,1,8,0,5,3,0,6,18,11,2,5,5,4,6,9,6
boltzgen-server,2,6,3,0,1,6,2,6,9,7,1,6,2,1,8,3,4,2,2,7,0,2,4,1,7,19,8,1,4,3,6,5,9,7
chembounce-server,2,4,1,1,0,3,2,3,3,2,0,2,2,1,2,2,2,3,1,2,0,2,3,0,2,5,1,1,3,1,1,2,3,1
deeprank-ab-server,2,2,4,6,3,0,3,3,8,4,1,4,2,7,2,2,1,2,1,10,0,5,0,1,10,16,7,2,4,6,1,1,7,4
diamond-server,2,4,2,2,2,3,0,3,3,3,2,3,3,2,3,3,3,3,2,3,2,2,3,2,3,5,2,3,3,2,3,3,3,2
diffdock-pp-server,4,5,6,6,3,3,3,0,6,2,1,1,2,6,5,6,2,2,1,9,0,7,2,1,7,16,8,2,7,8,5,3,6,6
diffdock-server,4,5,8,9,3,8,3,6,0,7,2,6,2,7,11,7,4,4,2,14,0,10,3,1,9,23,11,3,11,9,4,4,11,10
diffusion-hopping-server,4,6,7,7,2,4,3,2,7,0,1,3,2,6,4,8,1,3,2,10,0,9,3,1,9,19,11,2,9,9,4,3,7,7
dockq-server,0,2,0,1,0,1,2,1,2,1,0,1,2,1,1,2,1,2,0,2,0,1,1,0,2,3,1,2,2,1,1,1,1,0
drughive-server,3,4,5,6,2,4,3,1,6,3,1,0,2,6,4,6,1,3,2,6,0,7,3,1,5,12,8,2,7,6,3,2,5,6
ensemble-server,2,2,2,2,2,2,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
esmfold2-server,2,6,1,1,1,7,2,6,7,6,1,6,2,0,8,4,4,2,2,7,0,1,4,1,7,17,4,1,4,3,5,5,7,7
flowmol-server,3,4,7,8,2,2,3,5,11,4,1,4,2,8,0,5,0,4,2,10,0,11,2,1,10,18,10,2,7,9,4,3,9,4
genie3-server,6,4,6,3,2,2,3,6,7,8,2,6,2,4,5,0,4,0,2,4,0,5,1,2,5,18,6,0,3,5,4,4,6,6
iggm-server,3,2,3,4,2,1,3,2,4,1,1,1,2,4,0,4,0,3,2,4,0,4,1,1,5,10,6,2,4,5,1,2,2,2
immunebuilder-server,3,3,3,2,3,2,3,2,4,3,2,3,2,2,4,0,3,0,2,4,0,2,1,2,5,12,5,0,3,4,4,3,3,6
lightdock-server,1,3,1,2,1,1,2,1,2,2,0,2,2,2,2,2,2,2,0,3,0,2,1,0,2,4,2,2,3,2,1,1,1,1
