package,n_services,n_versions,conflicting_pairs,versions
numpy,30,12,375,1.26.4:10|2.2.6:4|2.4.6:4|1.24.4:2|1.24.1:2|1.26.3:2|1.22.4:1|2.0.2:1|2.5.0:1|1.23.5:1|1.24.2:1|1.26.2:1
scipy,27,10,310,1.15.2:7|1.17.1:4|1.18.0:4|1.15.3:4|1.13.1:2|1.12.0:2|1.7.3:1|1.10.0:1|1.10.1:1|1.11.4:1
setuptools,27,7,285,83.0.0:8|79.0.1:7|81.0.0:6|69.5.1:2|82.0.1:2|71.1.0:1|75.8.0:1
torch,24,17,269,2.12.0:2|2.12.1:2|2.0.1:2|1.13.1:2|2.2.0:2|2.7.1:2|2.3.1+cu121:2|1.13.1+cu117:1|1.12.1:1|2.7.0+cu126:1|2.7.0+cu128:1|2.9.0:1|2.4.1:1|2.10.0:1|2.12.0+cu126:1|2.0.1+cu118:1|2.4.0.post101:1
rpds-py,32,3,269,0.30.0:17|2026.6.3:14|0.28.0:1
typing_extensions,34,2,240,4.16.0:24|4.15.0:10
tqdm,25,8,232,4.68.4:10|4.68.3:7|4.65.0:2|4.66.1:2|4.64.1:1|4.67.3:1|4.64.0:1|4.67.1:1
charset-normalizer,32,4,227,3.4.9:23|3.4.7:6|3.4.8:2|3.4.1:1
networkx,25,6,216,3.6.1:10|3.4.2:9|3.4:3|2.8.4:1|2.8.8:1|3.3:1
pandas,22,11,212,3.0.3:4|2.3.3:4|1.5.2:3|2.2.3:3|3.0.4:2|2.0.3:1|1.5.3:1|1.5.1:1|2.2.0:1|1.5.0:1|2.2.2:1
cffi,33,2,200,2.1.0:25|2.0.0:8
pillow,23,6,190,12.3.0:10|12.2.0:6|12.0.0:2|9.4.0:2|8.4.0:2|11.0.0:1
anyio,34,4,177,4.14.2:28|4.14.1:4|4.14.0:1|4.12.1:1
PyYAML,34,3,151,6.0.3:29|6.0.2:3|6.0.1:2
triton,18,9,142,3.7.0:3|2.0.0:3|3.7.1:2|2.2.0:2|3.3.1:2|3.3.0:2|2.3.1:2|3.5.0:1|3.0.0:1
fsspec,22,5,142,2026.6.0:13|2026.4.0:5|2025.12.0:2|2024.6.1:1|2024.12.0:1
