service_a,service_b,n_shared,n_conflict,n_hard,n_soft,coinstallable,reconcilable,hard_conflict_packages
alphafold-server,bindflow-server,77,20,6,14,False,False,jaxlib(0.4.26+cuda12.cudnn89|0.4.18:build); ml-dtypes(0.3.2|0.5.4:major); protobuf(4.25.9|6.33.5:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|81.0.0:major); uvicorn(0.51.0|0.50.2:major)
alphafold-server,boltz-server,56,10,2,8,False,False,protobuf(4.25.9|5.29.6:major); setuptools(71.1.0|81.0.0:major)
alphafold-server,boltzgen-server,65,10,2,8,False,False,numpy(1.26.4|2.0.2:major); setuptools(71.1.0|81.0.0:major)
alphafold-server,chembounce-server,45,2,2,0,False,False,pip(26.1.2|24.0:major); setuptools(71.1.0|79.0.1:major)
alphafold-server,deeprank-ab-server,66,6,2,4,False,False,rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|83.0.0:major)
alphafold-server,diamond-server,42,6,2,4,False,False,annotated-types(0.7.0|0.8.0:major); fastapi(0.139.0|0.140.13:major)
alphafold-server,diffdock-pp-server,64,13,4,9,False,False,absl-py(1.0.0|2.5.0:major); pillow(12.3.0|9.4.0:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|83.0.0:major)
alphafold-server,diffdock-server,65,8,4,4,False,False,absl-py(1.0.0|2.5.0:major); ml-collections(0.1.0|1.1.0:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|69.5.1:major)
alphafold-server,diffusion-hopping-server,69,15,4,11,False,False,absl-py(1.0.0|2.5.0:major); pillow(12.3.0|8.4.0:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|79.0.1:major)
alphafold-server,dockq-server,45,1,0,1,False,True,
alphafold-server,drughive-server,62,10,3,7,False,False,pillow(12.3.0|9.4.0:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|79.0.1:major)
alphafold-server,ensemble-server,29,7,2,5,False,False,fastapi(0.139.0|0.138.0:major); uvicorn(0.51.0|0.49.0:major)
alphafold-server,esmfold2-server,61,10,2,8,False,False,numpy(1.26.4|2.5.0:major); setuptools(71.1.0|81.0.0:major)
alphafold-server,flowmol-server,60,10,3,7,False,False,pillow(12.3.0|8.4.0:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|79.0.1:major)
alphafold-server,genie3-server,62,9,6,3,False,False,absl-py(1.0.0|2.5.0:major); ml-collections(0.1.0|1.1.0:major); numpy(1.26.4|2.2.6:major); protobuf(4.25.9|7.35.1:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|83.0.0:major)
alphafold-server,iggm-server,59,9,3,6,False,False,absl-py(1.0.0|2.5.0:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|79.0.1:major)
alphafold-server,immunebuilder-server,55,6,3,3,False,False,numpy(1.26.4|2.2.6:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|83.0.0:major)
alphafold-server,lightdock-server,48,3,1,2,False,False,setuptools(71.1.0|83.0.0:major)
alphafold-server,megalodon-server,55,7,5,2,False,False,fsspec(2026.6.0|2025.12.0:major); numpy(1.26.4|2.2.6:major); packaging(26.2|24.2:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|79.0.1:major)
alphafold-server,mmseqs2-server,25,0,0,0,True,True,
alphafold-server,openadmet-server,77,7,4,3,False,False,numpy(1.26.4|2.4.6:major); protobuf(4.25.9|6.33.6:major); pytest(8.4.2|9.1.1:major); setuptools(71.1.0|81.0.0:major)
alphafold-server,openbpmd-server,63,9,2,7,False,False,rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|83.0.0:major)
alphafold-server,plip-server,44,1,0,1,False,True,
alphafold-server,pocketxmol-server,61,10,3,7,False,False,pip(26.1.2|24.3.1:major); rpds-py(2026.6.3|0.30.0:major); setuptools(71.1.0|69.5.1:major)
