service,repo,status,n_packages,source_files,error
alphafold-server,opensource/alphafold,ok,13,pyproject.toml; requirements.txt; docker/requirements.txt,
bindflow-server,opensource/BindFlow,ok,27,pyproject.toml; requirements_docs.txt; .conda_create_env/environment.yml,
boltz-server,opensource/boltz,ok,31,pyproject.toml; scripts/process/requirements.txt,
boltzgen-server,opensource/boltzgen,ok,32,pyproject.toml,
chembounce-server,opensource/chembounce,ok,162,environment.yml; environment_simple.yml,
deeprank-ab-server,opensource/DeepRank-Ab,ok,166,pyproject.toml; environment-gpu.yml,
diamond-server,opensource/diamond,empty,0,,
diffdock-pp-server,opensource/DiffDock-PP,empty,0,,
diffdock-server,opensource/DiffDock,ok,25,requirements.txt; app/requirements.txt; environment.yml,
diffusion-hopping-server,opensource/diffusion-hopping,ok,17,environment.yml,
dockq-server,opensource/DockQ,ok,6,pyproject.toml; setup.py; setup.cfg,
drughive-server,opensource/DrugHIVE,ok,15,setup.py; requirements.txt,
ensemble-server,,no-repo,,,no matching opensource repo
esmfold2-server,opensource/esm,ok,23,pyproject.toml,
flowmol-server,opensource/FlowMol,ok,229,pyproject.toml; setup.cfg; environment.yml,
genie3-server,opensource/genie3,ok,12,setup.py,
haddock3-server,opensource/haddock3,ok,34,pyproject.toml; setup.py,
iggm-server,opensource/IgGM,ok,431,environment.yaml,
immunebuilder-server,opensource/ImmuneBuilder,ok,5,setup.py,
lasermpnn-server,opensource/LASErMPNN,ok,26,conda_env.yml; conda_env_cuda_12p4.yml,
lightdock-server,opensource/lightdock,ok,3,pyproject.toml; setup.py,
megalodon-server,opensource/megalodon,ok,13,pyproject.toml; requirements.txt,
mmseqs2-server,opensource/MMseqs2,empty,0,,
odesign-server,opensource/ODesign,ok,234,requirements.txt,
openadmet-server,opensource/openadmet-models,ok,2,pyproject.toml; setup.cfg,
openbpmd-server,opensource/OpenBPMD,empty,0,,
plip-server,opensource/plip,ok,3,pyproject.toml,
pocketxmol-server,opensource/PocketXMol,ok,28,utils/requirements.txt; environment.yml; environment_cu128_base.yml,
ppiflow-server,opensource/PPIFlow,ok,310,tool/flowpacker/requirements.txt; tool/PPIFlow/environment.yml,
promera-server,opensource/promera,ok,22,pyproject.toml,
proteinmpnn-server,opensource/ProteinMPNN,empty,0,,
qligfep-server,opensource/qligfep,ok,30,pyproject.toml; setup.py; setup.cfg; environment.yml,
reinvent-server,opensource/REINVENT4,ok,31,pyproject.toml; contrib/reinvent-doc/requirements.txt,
rfantibody-server,opensource/RFantibody,ok,19,pyproject.toml; include/SE3Transformer/requirements.txt,
rfdiffusion-server,opensource/RFdiffusion,ok,6,setup.py; env/SE3Transformer/requirements.txt,
rfdiffusion2-server,opensource/RFdiffusion2,ok,68,pyproject.toml; setup.py; envs/requirements_cuda121.txt; envs/requirements_cuda124.txt; rf2aa/SE3Transformer/requirements.txt; envs/cuda121_env.yml; envs/cuda124_env.yml,
semlaflow-server,opensource/semla-flow,ok,18,environment.yaml,
turbohopp-server,opensource/TurboHopp,ok,182,environment.yml,
