service,image_size_mb,status
alphafold-server,6510.0,measured
bindflow-server,8220.0,measured
boltz-server,6920.0,measured
boltzgen-server,15500.0,measured
chembounce-server,1700.0,measured
deeprank-ab-server,17700.0,measured
diamond-server,,not_built_locally
diffdock-pp-server,9320.0,measured
diffdock-server,8470.0,measured
diffusion-hopping-server,9950.0,measured
dockq-server,652.0,measured
drughive-server,12200.0,measured
ensemble-server,232.0,measured
esmfold2-server,5920.0,measured
flowmol-server,11600.0,measured
genie3-server,9150.0,measured
haddock3-server,,not_built_locally
iggm-server,11900.0,measured
immunebuilder-server,9440.0,measured
lasermpnn-server,,not_built_locally
lightdock-server,963.0,measured
megalodon-server,9300.0,measured
mmseqs2-server,4000.0,measured
odesign-server,,not_built_locally
openadmet-server,16000.0,measured
openbpmd-server,6240.0,measured
plip-server,705.0,measured
pocketxmol-server,10800.0,measured
ppiflow-server,16000.0,measured
promera-server,11800.0,measured
proteinmpnn-server,8710.0,measured
qligfep-server,6750.0,measured
reinvent-server,11400.0,measured
rfantibody-server,10100.0,measured
rfdiffusion-server,8800.0,measured
rfdiffusion2-server,21100.0,measured
semlaflow-server,10300.0,measured
turbohopp-server,,not_built_locally
bioq (thin client),99.6,measured (runtime deps venv)
