unit,svc,metric,n_N1,median_N1,n_N10,median_N10,n_N50,median_N50,KW_H,KW_p,MW_1vs50_U,MW_1vs50_p,MW_1vs50_r,MW_10vs50_U,MW_10vs50_p,MW_10vs50_r
replicate_level,dockq,makespan_s,3,13.31,3,20.18,3,7247.26,5.0667,0.07939,0.0,0.1,1.0,1.0,0.2,0.7778
replicate_level,dockq,throughput_jobs_per_hour,3,270.5,3,1783.9,3,23.3,1.6889,0.4298,6.0,0.7,-0.3333,6.0,0.7,-0.3333
replicate_level,dockq,speedup_vs_serial,3,0.95,3,6.28,3,0.09,1.7031,0.4268,6.0,0.7,-0.3333,6.0,0.7,-0.3333
replicate_level,dockq,peak_concurrency,3,1.0,3,8.0,3,9.0,2.5747,0.276,3.0,0.7,0.3333,4.0,1,0.1111
replicate_level,dockq,cold_start_s,3,1.71,3,6.4,3,33.12,5.6,0.06081,0.0,0.1,1.0,0.0,0.1,1.0
replicate_level,mmseqs2,makespan_s,3,9.21,3,24.42,3,102.14,7.2,0.02732,0.0,0.1,1.0,0.0,0.1,1.0
replicate_level,mmseqs2,throughput_jobs_per_hour,3,390.9,3,1474.2,3,1762.3,4.6222,0.09915,0.0,0.1,1.0,3.0,0.7,0.3333
replicate_level,mmseqs2,speedup_vs_serial,3,0.92,3,3.45,3,4.13,4.6222,0.09915,0.0,0.1,1.0,3.0,0.7,0.3333
replicate_level,mmseqs2,cold_start_s,3,8.43,3,9.05,3,42.09,5.6,0.06081,0.0,0.1,1.0,0.0,0.1,1.0
replicate_level,plip,makespan_s,3,17.19,3,26.69,3,50.19,7.2,0.02732,0.0,0.1,1.0,0.0,0.1,1.0
replicate_level,plip,throughput_jobs_per_hour,3,209.4,3,1348.8,3,3586.4,7.2,0.02732,0.0,0.1,1.0,0.0,0.1,1.0
replicate_level,plip,speedup_vs_serial,3,0.98,3,6.32,3,16.81,7.2605,0.02651,0.0,0.1,1.0,0.0,0.1,1.0
replicate_level,plip,peak_concurrency,3,1.0,3,9.0,3,1.0,5.945,0.05118,4.5,1,0.0,9.0,0.1,-1.0
