svc,tier,N,rep,makespan_s,throughput_jobs_per_hour,speedup_vs_serial,peak_concurrency,n_completed,cold_start_s,serial_est_s
proteinmpnn,hot,1,1,18.59,193.7,1.52,1,1,6.58,28.2
proteinmpnn,hot,1,2,29.28,123.0,0.96,1,1,16.05,28.2
proteinmpnn,hot,1,3,35.49,101.4,0.8,1,1,21.38,28.2
proteinmpnn,hot,10,1,44.85,802.7,6.29,10,10,19.56,282.3
proteinmpnn,hot,10,2,45.74,787.1,6.17,10,10,22.05,282.3
proteinmpnn,hot,10,3,46.3,777.5,6.1,10,10,19.11,282.3
proteinmpnn,hot,50,1,141.4,1273.0,9.98,9,50,42.26,1411.5
proteinmpnn,hot,50,2,130.68,1377.4,10.8,35,50,43.0,1411.5
proteinmpnn,hot,50,3,128.21,1403.9,11.01,41,50,43.35,1411.5
mmseqs2,hot,1,1,13.05,275.9,0.65,0,1,12.38,8.4
mmseqs2,hot,1,2,2.81,1281.1,3.0,0,1,2.01,8.4
mmseqs2,hot,1,3,9.21,390.9,0.92,0,1,8.43,8.4
mmseqs2,hot,10,1,28.17,1278.0,2.99,0,10,20.46,84.3
mmseqs2,hot,10,2,17.68,2036.2,4.77,0,10,8.18,84.3
mmseqs2,hot,10,3,24.42,1474.2,3.45,0,10,9.05,84.3
mmseqs2,hot,50,1,102.14,1762.3,4.13,0,50,40.55,421.5
mmseqs2,hot,50,2,105.48,1706.5,4.0,0,50,42.09,421.5
mmseqs2,hot,50,3,99.37,1811.4,4.24,0,50,47.74,421.5
rfdiffusion2,warm,1,1,7.25,496.6,1.86,0,1,6.42,13.5
rfdiffusion2,warm,1,2,14.16,254.2,0.95,0,1,13.49,13.5
rfdiffusion2,warm,1,3,14.42,249.7,0.94,0,1,13.73,13.5
rfdiffusion2,warm,10,1,35.72,1007.8,3.78,0,10,25.65,134.9
rfdiffusion2,warm,10,2,30.6,1176.5,4.41,0,10,21.59,134.9
rfdiffusion2,warm,10,3,26.32,1367.8,5.13,0,10,18.66,134.9
rfdiffusion2,warm,50,1,82.41,2184.2,8.18,0,50,41.6,674.5
rfdiffusion2,warm,50,2,82.1,2192.4,8.22,0,50,41.63,674.5
rfdiffusion2,warm,50,3,105.14,1712.0,6.42,0,50,46.42,674.5
reinvent,warm,1,1,41.51,86.7,0.72,1,1,12.41,30.1
reinvent,warm,1,2,30.53,117.9,0.99,1,1,7.18,30.1
reinvent,warm,1,3,30.79,116.9,0.98,1,1,7.19,30.1
reinvent,warm,10,1,85.42,421.4,3.52,10,10,19.38,300.8
reinvent,warm,10,2,63.42,567.6,4.74,10,10,8.02,300.8
reinvent,warm,10,3,60.94,590.7,4.94,10,10,7.69,300.8
reinvent,warm,50,1,144.42,1246.4,10.41,49,50,38.11,1504.0
reinvent,warm,50,2,145.18,1239.8,10.36,47,50,37.17,1504.0
reinvent,warm,50,3,144.68,1244.1,10.4,48,50,44.03,1504.0
plip,cold,1,1,12.58,286.2,1.34,1,1,6.54,16.9
plip,cold,1,2,17.19,209.4,0.98,1,1,0.71,16.9
plip,cold,1,3,17.2,209.3,0.98,1,1,6.21,16.9
plip,cold,10,1,31.41,1146.1,5.37,9,10,12.38,168.7
plip,cold,10,2,26.69,1348.8,6.32,9,10,6.1,168.7
plip,cold,10,3,24.44,1473.0,6.9,10,10,4.76,168.7
plip,cold,50,1,46.23,3893.6,18.25,0,50,22.73,843.5
plip,cold,50,2,50.19,3586.4,16.81,1,50,22.79,843.5
plip,cold,50,3,54.99,3273.3,15.34,2,50,24.62,843.5
dockq,cold,1,1,13.31,270.5,0.95,1,1,1.71,12.7
dockq,cold,1,2,29.53,121.9,0.43,1,1,23.38,12.7
dockq,cold,1,3,6.9,521.7,1.84,1,1,1.09,12.7
dockq,cold,10,1,70.25,512.5,1.8,5,10,11.99,126.8
dockq,cold,10,2,20.18,1783.9,6.28,10,10,6.07,126.8
dockq,cold,10,3,19.84,1814.5,6.39,8,10,6.4,126.8
dockq,cold,50,1,68.43,2630.4,9.26,0,50,37.96,634.0
dockq,cold,50,2,7247.26,23.3,0.09,9,47,28.84,634.0
dockq,cold,50,3,7250.91,21.3,0.09,20,43,33.12,634.0
