tag,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd
design_0000,1.49,1.94,0.79,1.91,1.02,2.83,1.29,1.91,17.85,9.38,0.83,32.86,24.45
design_0001,1.18,1.68,0.51,1.65,0.91,3.54,1.25,2.08,18.39,9.63,0.83,29.57,22.84
design_0002,1.38,1.69,1.84,1.62,0.94,3.45,1.33,2.2,18.47,9.64,0.83,31.03,22.95
design_0003,1.47,1.91,1.15,1.84,0.98,2.23,1.21,1.72,19.01,9.8,0.83,33.96,24.14
design_0004,1.35,1.9,0.85,1.89,0.99,3.87,1.38,2.31,17.99,9.49,0.83,26.15,19.71
design_0005,1.41,1.99,0.94,1.99,1.05,2.63,1.29,1.86,19.18,9.84,0.84,30.42,19.68
design_0006,1.38,1.97,1.33,2.05,1.08,3.1,1.33,2.08,15.21,8.52,0.82,18.29,14.35
design_0007,1.4,1.51,2.47,1.7,0.87,3.68,1.39,2.4,18.44,9.55,0.83,31.62,19.61
design_0008,0.93,1.77,1.37,1.73,0.97,7.9,2.03,4.22,17.04,8.69,0.85,16.09,11.66
design_0009,0.91,1.61,1.23,1.6,1.09,8.07,2.04,4.28,16.69,8.5,0.85,11.34,8.62
design_0010,0.95,1.66,1.26,1.69,1.09,8.0,2.04,4.26,17.83,8.96,0.86,17.67,15.33
design_0011,0.93,1.59,1.27,1.64,0.92,7.89,2.03,4.19,17.76,8.95,0.85,4.86,4.97
design_0012,1.0,1.5,1.29,1.63,0.91,7.93,2.03,4.21,16.58,8.53,0.85,26.99,21.35
design_0013,0.85,1.55,1.23,2.1,0.92,7.93,2.03,4.24,17.45,8.85,0.86,16.75,13.1
design_0014,1.04,1.47,1.44,1.7,0.82,7.75,1.98,4.13,17.03,8.74,0.85,14.76,10.98
design_0015,0.91,1.49,1.22,1.66,0.98,7.93,2.01,4.21,17.32,8.73,0.86,7.03,6.29
design_0016,0.86,1.82,3.37,2.25,1.0,5.09,1.56,2.95,11.03,6.47,0.84,32.71,24.72
design_0017,1.02,1.9,3.28,2.17,0.84,4.52,1.47,2.74,16.57,8.58,0.85,21.03,15.83
design_0018,1.28,2.01,3.02,2.41,0.86,2.35,1.35,2.17,17.32,8.58,0.86,33.6,19.7
design_0019,0.85,1.75,3.43,2.29,1.02,5.13,1.57,2.97,9.46,5.78,0.85,32.45,24.54
design_0020,1.1,1.88,3.39,2.4,1.02,5.08,1.6,2.99,17.01,8.63,0.85,12.25,11.24
design_0021,1.15,1.87,3.36,2.16,1.16,4.54,1.5,2.79,17.85,9.05,0.85,31.28,23.13
design_0022,1.31,2.25,3.2,2.98,1.14,2.71,1.51,2.46,16.81,8.7,0.85,25.62,15.95
design_0023,1.11,2.14,2.12,2.48,0.98,2.56,1.29,2.03,15.42,8.2,0.84,17.5,14.26
design_0024,1.12,1.27,2.22,1.8,0.86,6.37,1.78,3.46,17.89,9.24,0.84,25.38,17.41
design_0025,1.07,1.54,2.45,1.84,0.87,6.35,1.78,3.49,17.1,8.9,0.83,28.4,21.06
design_0026,1.21,1.24,2.43,1.73,0.91,6.38,1.78,3.48,17.51,8.99,0.84,14.05,11.39
design_0027,1.38,1.54,2.25,2.14,1.0,6.71,1.9,3.68,17.56,8.89,0.85,20.34,14.68
design_0028,1.11,1.15,2.06,1.79,1.24,7.03,1.91,3.76,17.1,8.57,0.86,8.67,8.07
design_0029,1.14,1.17,2.18,2.05,1.13,6.45,1.83,3.52,17.39,8.94,0.84,26.52,20.79
design_0030,1.05,1.33,2.45,1.64,0.95,6.85,1.86,3.69,12.84,7.07,0.85,16.84,13.1
design_0031,1.17,1.2,2.1,1.88,0.9,6.81,1.86,3.66,16.84,8.59,0.85,9.61,8.37
design_0032,0.99,3.1,0.68,2.63,0.98,1.59,1.19,1.75,17.97,9.15,0.84,16.43,12.18
design_0033,0.95,2.25,0.97,1.98,0.67,1.23,1.05,1.39,20.88,9.92,0.85,21.91,15.96
design_0034,0.97,2.63,1.48,2.53,1.23,1.62,1.21,1.79,19.66,9.66,0.85,30.88,22.23
design_0035,0.9,2.4,1.08,2.41,1.08,1.73,1.09,1.64,18.94,9.41,0.85,21.73,14.49
design_0036,1.03,2.2,0.87,1.91,0.77,1.43,1.07,1.4,20.56,9.76,0.86,19.26,13.42
design_0037,0.99,2.42,0.57,1.67,0.83,2.99,1.05,1.73,18.44,9.2,0.85,22.62,17.06
design_0038,0.89,2.61,0.63,2.45,1.07,2.1,1.09,1.7,17.76,9.03,0.85,16.23,10.6
design_0039,0.99,2.28,1.14,1.95,0.68,1.74,1.06,1.52,19.76,9.36,0.86,14.59,12.52
design_0040,1.21,2.39,1.55,2.49,1.11,8.61,2.25,4.64,17.46,8.99,0.85,15.82,12.47
design_0041,1.02,2.47,1.69,2.57,1.0,7.96,2.12,4.34,16.23,8.36,0.85,22.2,15.32
design_0042,0.9,2.11,1.62,2.49,0.92,7.8,2.07,4.22,15.46,8.17,0.84,14.72,11.62
design_0043,1.03,2.62,1.54,2.61,1.23,1.69,1.3,1.88,12.41,7.43,0.83,16.58,13.18
