tag,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd
design_0000,1.09,2.1,2.61,1.81,1.28,2.11,1.2,2.0,15.16,8.7,0.85,8.54,5.99
design_0001,0.95,1.9,2.73,2.16,0.84,2.14,1.18,2.03,15.73,8.97,0.86,10.92,7.64
design_0002,1.12,2.03,2.31,1.71,0.96,2.0,1.14,1.83,11.86,7.12,0.86,8.76,5.92
design_0003,0.97,1.8,3.4,1.47,0.88,1.61,1.23,2.13,15.04,8.61,0.85,23.61,17.84
design_0004,1.12,2.09,2.86,1.89,1.4,1.96,1.28,2.09,15.64,8.85,0.85,29.25,19.97
design_0005,1.0,2.01,3.19,2.39,0.99,2.09,1.3,2.26,13.91,8.29,0.84,12.95,8.66
design_0006,1.04,1.9,4.89,1.5,0.77,1.43,1.5,2.79,17.78,9.6,0.86,14.23,10.73
design_0007,1.17,2.11,2.8,1.89,1.05,2.04,1.28,2.06,13.85,7.98,0.86,28.13,19.06
design_0008,1.71,1.67,1.1,1.76,1.33,3.41,1.38,2.04,7.64,5.69,0.84,7.7,6.56
design_0009,1.09,1.87,1.55,1.58,0.96,4.28,1.39,2.35,19.1,10.41,0.86,20.65,15.26
design_0010,1.15,1.7,1.61,1.71,0.97,3.69,1.34,2.14,17.21,9.61,0.86,10.49,8.74
design_0011,1.34,2.07,1.65,1.69,0.94,3.32,1.37,2.08,17.42,9.71,0.86,13.91,10.01
design_0012,1.29,1.98,1.18,1.61,1.07,5.03,1.49,2.62,15.77,8.98,0.86,12.61,8.01
design_0013,1.45,2.34,1.69,1.73,1.09,3.45,1.4,2.18,17.81,9.88,0.86,15.83,12.33
design_0014,1.64,1.99,1.46,1.74,1.29,3.6,1.39,2.18,18.48,10.06,0.87,18.52,13.81
design_0015,1.43,2.11,1.06,1.59,1.14,4.87,1.49,2.57,16.76,9.48,0.86,9.5,6.12
design_0016,0.95,1.98,1.67,1.79,1.25,6.96,1.97,3.77,18.05,10.19,0.84,14.81,10.37
design_0017,1.06,2.07,3.31,1.92,1.4,5.14,1.79,3.27,16.41,9.47,0.84,27.11,20.41
design_0018,1.11,2.02,1.73,1.79,1.17,6.79,1.98,3.7,17.64,9.87,0.84,15.13,10.46
design_0019,1.04,2.06,2.38,1.58,0.89,5.36,1.69,3.12,15.57,9.24,0.83,12.15,9.93
design_0020,0.99,2.0,2.12,1.72,0.99,5.94,1.76,3.35,14.86,8.96,0.83,6.87,7.25
design_0021,0.99,2.16,1.77,1.78,1.16,6.4,1.87,3.53,15.13,8.96,0.83,9.6,6.93
design_0022,1.11,2.1,1.58,1.69,0.95,5.2,1.61,2.94,11.06,7.39,0.82,6.38,4.68
design_0023,1.13,2.3,1.84,1.88,1.15,6.34,1.93,3.53,15.6,9.09,0.84,11.83,9.35
design_0024,0.72,1.87,1.15,2.09,0.94,6.2,1.79,3.55,10.68,7.31,0.83,3.65,3.93
design_0025,1.66,2.94,1.35,3.03,1.56,3.58,1.78,2.7,9.43,6.44,0.84,11.28,6.96
design_0026,1.34,2.75,1.11,2.64,1.52,3.37,1.59,2.47,8.75,6.25,0.84,9.55,5.86
design_0027,1.2,2.29,0.88,2.8,1.47,3.85,1.59,2.61,17.21,9.78,0.85,15.31,12.17
design_0028,0.81,2.12,0.9,2.39,1.35,3.98,1.5,2.55,11.9,7.63,0.84,3.3,2.92
design_0029,1.14,2.38,0.97,2.5,1.44,3.88,1.56,2.59,14.74,8.82,0.84,6.81,5.52
design_0030,0.87,2.45,1.42,2.13,1.46,6.58,1.94,3.83,17.55,10.11,0.84,5.88,5.86
design_0031,0.81,2.42,1.04,2.4,1.44,4.1,1.56,2.66,15.61,9.14,0.85,3.41,3.98
design_0032,2.6,3.48,5.44,1.78,1.41,2.27,1.88,3.53,16.78,9.41,0.85,33.95,25.46
design_0033,3.1,3.37,8.76,1.92,1.37,2.98,2.63,5.18,18.11,9.94,0.85,34.25,23.21
design_0034,2.78,3.79,5.84,2.08,1.82,2.33,2.07,3.82,16.26,9.33,0.84,29.74,22.33
design_0035,2.97,4.34,5.17,2.12,1.8,2.41,2.01,3.65,16.64,9.46,0.85,28.59,21.44
design_0036,3.09,3.61,5.1,2.11,1.41,2.21,1.96,3.49,16.94,9.42,0.84,19.54,12.1
design_0037,3.32,3.94,5.02,2.19,1.58,2.01,2.0,3.54,17.47,9.62,0.85,21.55,15.75
design_0038,2.55,3.34,4.15,1.82,1.77,2.6,1.66,3.04,12.8,7.71,0.85,30.16,23.09
design_0039,2.58,4.07,4.64,2.18,1.64,2.28,1.84,3.33,18.06,10.15,0.84,34.17,24.7
design_0040,0.97,1.83,5.02,1.87,1.41,2.58,1.68,3.07,16.99,9.43,0.86,29.51,21.84
design_0041,0.91,1.88,3.51,1.99,0.86,2.08,1.41,2.32,17.26,9.63,0.85,14.27,9.31
design_0042,0.93,1.53,4.79,1.68,0.76,1.94,1.52,2.81,18.22,10.03,0.86,26.82,20.87
design_0043,0.98,1.61,3.7,1.82,0.88,2.01,1.38,2.36,16.47,9.35,0.85,9.08,7.22
design_0044,0.85,1.69,4.94,1.49,0.69,1.79,1.53,2.86,17.46,9.51,0.86,9.86,9.49
design_0045,1.31,1.44,5.79,1.59,0.78,1.5,1.64,3.26,16.0,9.05,0.86,16.75,11.15
design_0046,1.36,1.6,5.94,2.08,0.82,1.56,1.7,3.39,16.58,9.31,0.85,17.07,12.22
design_0047,0.97,1.65,5.73,1.86,0.96,2.55,1.8,3.36,17.45,9.68,0.86,21.37,13.7
design_0048,1.06,1.58,1.46,2.21,1.17,2.55,1.26,1.81,16.43,9.27,0.85,18.48,13.84
design_0049,1.09,1.53,2.31,2.23,0.97,2.65,1.35,2.02,16.68,9.34,0.85,21.79,16.35
design_0050,1.21,1.82,1.79,2.33,1.04,2.64,1.35,1.95,13.48,8.06,0.85,23.76,17.93
design_0051,1.01,1.63,1.57,2.28,0.85,3.04,1.31,1.97,15.22,8.85,0.85,6.06,5.02
design_0052,1.02,1.73,1.3,2.11,0.81,3.22,1.3,1.97,18.09,9.97,0.86,36.65,26.22
design_0053,1.07,1.9,0.93,2.33,1.15,2.6,1.32,1.8,15.25,8.72,0.85,10.9,9.96
design_0054,1.05,1.68,1.9,2.43,1.0,2.61,1.33,1.96,16.82,9.34,0.86,10.5,8.12
design_0055,1.04,1.41,1.89,2.13,1.06,2.73,1.28,1.91,16.96,9.43,0.86,32.28,23.34
design_0056,1.08,2.08,1.2,1.79,1.03,5.25,1.59,2.98,17.17,9.64,0.85,29.72,22.59
design_0057,0.95,1.8,2.02,1.97,1.21,3.09,1.31,2.11,18.14,10.03,0.86,26.88,22.31
design_0058,0.91,1.67,2.44,1.83,1.4,2.82,1.27,2.04,17.03,9.6,0.85,19.72,15.14
design_0059,0.88,1.72,1.54,1.86,0.95,5.78,1.64,3.21,16.84,9.37,0.87,24.91,19.95
design_0060,1.06,1.66,2.39,1.97,1.04,3.05,1.31,2.12,16.77,9.45,0.85,16.75,11.95
design_0061,0.94,1.88,0.99,1.64,0.98,4.68,1.43,2.66,15.74,9.12,0.84,25.26,18.09
design_0062,1.15,1.89,2.17,2.01,1.19,3.37,1.38,2.27,17.61,9.74,0.87,29.52,22.82
design_0063,0.8,1.5,2.26,1.58,0.94,3.05,1.16,2.0,16.94,9.69,0.85,12.35,8.62
design_0064,8.1,22.31,13.25,27.14,12.95,20.55,14.84,18.23,5.95,4.46,0.87,28.17,18.51
design_0065,8.17,20.26,12.38,26.86,10.71,20.02,14.61,17.36,10.99,6.5,0.87,28.53,18.87
design_0066,8.39,23.5,11.42,27.36,13.62,20.84,14.88,18.37,13.13,7.64,0.86,31.2,22.27
design_0067,8.16,23.81,11.65,27.25,12.85,20.86,14.88,18.34,16.17,8.96,0.87,28.05,18.49
design_0068,8.24,20.23,11.77,26.82,10.58,20.13,14.6,17.26,16.08,8.72,0.88,28.59,20.57
design_0069,8.1,22.45,11.19,27.25,12.32,20.68,14.78,17.93,13.42,7.9,0.85,28.28,17.73
design_0070,8.07,22.36,13.6,27.29,13.05,20.75,14.87,18.38,5.37,4.14,0.87,28.41,18.85
design_0071,8.16,21.66,12.09,27.24,11.99,20.61,14.73,17.87,9.43,5.95,0.86,27.48,17.05
design_0072,1.44,2.29,2.87,2.39,1.19,0.89,1.36,2.12,11.21,6.73,0.86,34.22,25.44
design_0073,1.3,2.37,2.45,2.62,1.05,0.85,1.34,2.01,10.27,6.24,0.87,37.79,27.82
design_0074,1.37,1.66,2.93,1.76,0.88,0.78,1.19,1.91,6.5,4.56,0.88,17.54,10.6
design_0075,1.55,2.22,2.18,2.41,1.35,0.93,1.37,1.92,9.55,5.99,0.87,5.48,3.59
design_0076,1.54,2.65,2.36,2.54,1.24,1.05,1.46,2.07,13.81,7.57,0.88,22.61,16.91
design_0077,1.55,2.38,1.83,2.96,1.25,1.04,1.45,1.98,18.49,9.81,0.87,27.08,20.67
design_0078,1.49,2.4,2.65,2.76,1.25,1.1,1.44,2.16,14.96,8.25,0.87,18.69,12.91
design_0079,1.43,2.32,2.01,2.3,1.16,0.86,1.26,1.83,16.92,9.08,0.88,11.6,7.86
design_0080,0.97,1.66,3.33,1.76,0.87,3.96,1.52,2.72,8.73,6.27,0.83,10.79,7.22
design_0081,0.87,1.48,2.92,1.9,0.63,3.96,1.37,2.59,8.35,6.1,0.83,8.8,5.85
design_0082,1.26,1.79,2.43,1.75,1.2,2.79,1.29,2.12,15.33,8.98,0.84,18.52,13.42
design_0083,1.1,1.79,2.43,1.85,1.04,2.44,1.29,2.0,17.69,9.8,0.86,30.71,23.3
design_0084,0.85,1.52,2.48,1.58,0.85,4.22,1.38,2.56,8.04,5.98,0.84,9.46,6.71
design_0085,1.53,2.29,1.66,2.03,0.92,3.67,1.47,2.35,14.25,8.59,0.83,19.63,11.07
design_0086,1.04,1.73,2.68,1.71,1.21,3.63,1.42,2.44,15.06,8.89,0.83,7.95,5.83
design_0087,1.4,2.02,1.88,1.89,0.91,3.23,1.41,2.17,15.9,9.31,0.83,31.95,22.4
design_0088,1.32,1.12,3.08,1.7,1.16,5.29,1.7,3.22,17.11,9.73,0.85,22.27,18.28
design_0089,1.31,1.22,1.98,1.72,1.13,3.64,1.38,2.32,17.48,9.93,0.84,32.49,24.02
design_0090,1.33,1.26,1.36,1.8,1.09,3.43,1.36,2.16,17.59,9.91,0.85,31.07,21.26
design_0091,1.09,1.26,2.72,1.68,0.83,3.14,1.32,2.21,17.38,9.84,0.85,22.29,16.1
design_0092,1.35,1.29,1.64,2.0,0.87,3.27,1.37,2.14,17.68,9.89,0.85,12.24,11.03
design_0093,1.07,0.9,2.96,1.53,0.81,4.17,1.43,2.65,18.05,10.22,0.85,11.47,13.15
design_0094,1.18,1.09,3.46,1.59,1.13,4.51,1.57,2.92,17.65,10.01,0.85,7.44,9.19
design_0095,1.18,0.97,3.33,1.63,0.91,3.39,1.35,2.43,18.08,10.25,0.85,14.69,11.94
design_0096,1.1,1.2,3.37,2.12,0.93,5.79,1.69,3.22,16.74,9.36,0.86,22.42,17.68
design_0097,1.05,1.23,3.37,2.02,1.0,5.86,1.66,3.24,13.89,7.99,0.87,22.57,18.2
design_0098,1.01,1.26,3.5,2.21,1.31,5.69,1.68,3.23,12.69,7.36,0.87,23.63,18.76
design_0099,1.14,1.55,3.14,2.29,1.04,2.75,1.4,2.2,18.08,10.02,0.87,17.84,16.63
design_0100,1.17,1.54,2.86,2.65,1.03,2.32,1.38,2.1,16.66,9.28,0.87,21.35,15.63
design_0101,1.07,1.64,3.32,2.44,0.76,6.94,1.91,3.71,16.6,8.62,0.9,22.14,18.22
design_0102,1.21,1.36,3.54,2.15,1.03,5.75,1.71,3.26,13.75,8.09,0.86,23.28,18.6
design_0103,1.21,1.15,3.4,2.11,1.24,5.56,1.65,3.15,12.84,7.66,0.86,24.28,19.36
design_0104,1.38,1.87,5.28,1.55,1.11,1.81,1.54,3.04,14.5,8.49,0.84,9.53,8.43
design_0105,1.3,2.36,3.52,2.27,1.42,2.12,1.59,2.47,12.59,7.5,0.85,14.6,9.73
design_0106,1.35,2.31,2.82,1.82,0.8,1.67,1.3,2.04,15.1,8.54,0.86,12.49,8.44
design_0107,1.34,2.63,3.09,2.22,1.21,2.35,1.45,2.36,17.94,9.7,0.87,14.37,11.57
design_0108,1.36,2.25,3.26,2.04,0.88,2.04,1.37,2.28,15.11,8.56,0.85,17.71,11.82
design_0109,1.6,2.62,2.56,1.88,1.06,2.07,1.38,2.1,16.21,9.08,0.86,14.52,11.18
design_0110,1.39,2.73,3.76,2.07,1.23,2.61,1.55,2.64,16.93,8.9,0.89,30.32,23.16
design_0111,1.58,2.24,2.87,1.73,0.94,1.86,1.3,2.09,16.07,9.1,0.85,9.2,8.39
design_0112,1.06,2.1,2.0,1.98,0.98,1.01,1.17,1.68,15.67,8.17,0.9,13.31,10.43
design_0113,1.18,1.93,1.63,2.18,1.5,1.01,1.15,1.64,8.87,5.43,0.88,7.9,5.31
design_0114,1.27,1.76,1.65,2.25,0.84,1.0,1.13,1.58,9.63,5.88,0.87,3.64,2.65
design_0115,1.45,2.24,3.2,2.74,1.07,1.06,1.48,2.35,10.75,6.2,0.88,8.59,5.4
design_0116,1.28,1.85,3.1,1.93,1.02,0.95,1.26,2.1,16.49,8.91,0.87,20.19,15.26
design_0117,1.92,2.14,3.04,2.83,1.11,0.99,1.49,2.35,9.62,6.03,0.86,25.75,18.76
design_0118,1.26,1.58,2.03,2.27,1.17,1.05,1.18,1.72,10.04,5.86,0.88,3.39,2.64
design_0119,1.24,2.44,2.17,2.19,1.27,0.95,1.23,1.88,15.07,8.01,0.89,31.16,22.64
design_0120,1.78,2.27,2.74,2.09,1.42,2.08,1.37,2.19,11.94,7.11,0.86,36.33,25.6
design_0121,1.54,2.18,3.06,2.02,1.77,2.14,1.39,2.29,16.81,9.13,0.87,33.89,26.14
design_0122,1.82,2.67,2.24,2.11,1.56,2.3,1.36,2.15,17.79,9.5,0.88,29.34,23.57
design_0123,1.48,2.09,1.95,2.05,1.78,2.0,1.23,1.91,14.78,8.24,0.87,30.04,22.13
design_0124,2.01,2.4,2.11,2.16,1.22,2.03,1.34,2.04,18.01,9.57,0.88,21.96,16.27
