tag,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd
design_0000,0.72,0.55,9.99,nan,nan,nan,3.19,6.94,14.71,8.39,0.85,20.71,20.69
design_0001,0.48,0.69,0.83,nan,nan,nan,0.46,0.71,15.7,8.08,0.9,10.39,8.23
design_0002,0.6,0.47,0.69,nan,nan,nan,0.43,0.62,16.42,8.46,0.9,17.79,18.49
design_0003,0.66,0.51,8.71,nan,nan,nan,2.79,6.05,12.97,7.53,0.85,7.38,10.99
design_0004,0.43,0.77,0.96,nan,nan,nan,0.49,0.8,16.24,8.3,0.9,14.54,13.86
design_0005,0.71,0.5,8.28,nan,nan,nan,2.65,5.75,14.97,8.44,0.86,20.47,20.15
design_0006,0.41,0.67,1.06,nan,nan,nan,0.5,0.83,15.12,7.75,0.91,17.79,18.8
design_0007,0.66,0.51,8.2,nan,nan,nan,2.63,5.7,15.23,8.6,0.86,18.95,18.23
design_0008,0.37,0.89,0.83,nan,nan,nan,0.46,0.72,9.91,5.63,0.88,3.14,3.74
design_0009,0.38,0.7,0.98,nan,nan,nan,0.47,0.72,10.63,5.91,0.88,7.1,7.85
design_0010,0.34,2.44,1.02,nan,nan,nan,0.72,1.5,10.15,5.7,0.88,6.64,7.66
design_0011,0.4,0.76,0.79,nan,nan,nan,0.46,0.66,9.71,5.52,0.88,3.91,5.07
design_0012,0.52,0.73,1.28,nan,nan,nan,0.49,0.89,13.73,7.34,0.89,14.85,8.81
design_0013,0.49,2.74,1.85,nan,nan,nan,0.87,1.88,5.74,3.74,0.87,1.62,2.17
design_0014,0.27,0.42,1.03,nan,nan,nan,0.44,0.65,5.93,3.76,0.88,2.43,2.33
design_0015,0.39,0.52,1.09,nan,nan,nan,0.5,0.72,9.23,5.28,0.88,3.8,4.61
design_0016,0.59,1.28,1.26,nan,nan,nan,0.58,1.06,12.78,7.09,0.87,22.65,21.42
design_0017,0.66,1.24,1.17,nan,nan,nan,0.57,1.03,11.45,6.44,0.88,23.6,22.95
design_0018,0.84,1.26,1.07,nan,nan,nan,0.59,1.06,14.2,7.65,0.88,22.43,18.72
design_0019,0.67,1.2,0.97,nan,nan,nan,0.56,0.96,13.82,7.52,0.88,19.92,12.53
design_0020,0.57,1.31,1.17,nan,nan,nan,0.58,1.04,10.93,6.18,0.88,23.35,21.72
design_0021,0.7,1.32,1.13,nan,nan,nan,0.58,1.06,12.14,6.75,0.88,22.74,21.67
