tag,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd
design_0000,0.51,0.56,1.44,nan,nan,nan,0.61,1.07,15.8,8.61,0.9,13.15,14.93
design_0001,0.59,0.85,1.94,nan,nan,nan,0.75,1.44,12.36,7.04,0.89,31.46,18.57
design_0002,0.49,0.64,1.48,nan,nan,nan,0.62,1.1,15.49,8.56,0.88,10.83,9.9
design_0003,0.56,0.57,1.81,nan,nan,nan,0.7,1.32,15.23,8.37,0.89,18.11,14.75
design_0004,0.42,0.63,1.16,nan,nan,nan,0.53,0.89,14.79,8.04,0.9,14.38,13.8
design_0005,0.48,0.76,1.38,nan,nan,nan,0.6,1.06,14.61,7.96,0.9,11.46,11.84
design_0006,0.67,0.78,1.79,nan,nan,nan,0.72,1.35,13.1,7.42,0.89,31.7,18.72
design_0007,0.38,0.61,2.62,nan,nan,nan,0.92,1.85,14.69,8.27,0.88,12.51,8.4
design_0008,0.51,0.77,0.75,nan,nan,nan,0.44,0.68,2.77,2.31,0.91,1.68,1.78
design_0009,0.67,0.78,0.66,nan,nan,nan,0.46,0.7,2.64,2.18,0.92,1.38,1.62
design_0010,0.62,0.69,0.56,nan,nan,nan,0.44,0.62,2.7,2.22,0.92,1.28,1.52
design_0011,0.49,0.75,0.5,nan,nan,nan,0.43,0.58,2.96,2.36,0.91,1.07,1.19
design_0012,0.56,0.7,0.69,nan,nan,nan,0.45,0.65,2.6,2.18,0.92,1.61,1.82
design_0013,0.43,0.8,0.69,nan,nan,nan,0.45,0.65,2.54,2.15,0.92,1.38,1.53
design_0014,0.61,0.7,0.57,nan,nan,nan,0.43,0.62,2.66,2.2,0.92,1.46,1.57
design_0015,0.55,0.69,0.75,nan,nan,nan,0.44,0.67,2.75,2.28,0.91,1.51,1.55
design_0016,0.56,0.82,1.41,nan,nan,nan,0.52,0.95,12.58,7.06,0.89,1.9,2.62
design_0017,0.71,0.74,2.12,nan,nan,nan,0.65,1.28,13.46,7.56,0.89,6.49,7.76
design_0018,0.59,1.02,1.03,nan,nan,nan,0.5,0.88,13.8,7.61,0.9,26.98,20.27
design_0019,0.6,0.82,1.18,nan,nan,nan,0.5,0.87,13.1,7.32,0.89,27.44,21.1
design_0020,0.6,1.06,0.81,nan,nan,nan,0.51,0.83,12.82,7.13,0.9,11.44,9.95
design_0021,0.63,0.89,1.11,nan,nan,nan,0.5,0.87,14.49,7.88,0.9,23.95,19.83
design_0022,0.99,0.69,1.08,nan,nan,nan,0.54,0.93,4.89,3.4,0.89,1.45,1.53
design_0023,0.87,0.85,1.33,nan,nan,nan,0.58,1.01,14.87,8.11,0.9,17.77,14.44
design_0024,0.8,0.47,0.85,nan,nan,nan,0.47,0.74,3.96,2.93,0.9,1.44,1.34
design_0025,0.64,0.47,0.76,nan,nan,nan,0.44,0.65,3.9,2.87,0.9,1.3,1.23
design_0026,0.53,0.39,0.9,nan,nan,nan,0.45,0.67,4.45,3.15,0.9,2.18,1.68
design_0027,0.62,0.4,0.85,nan,nan,nan,0.44,0.67,3.7,2.79,0.9,1.51,1.24
design_0028,0.74,0.53,0.81,nan,nan,nan,0.48,0.72,4.09,3.06,0.89,1.38,1.4
design_0029,0.98,0.66,1.19,nan,nan,nan,0.57,0.99,14.1,7.78,0.89,15.47,9.14
design_0030,0.77,0.48,0.93,nan,nan,nan,0.49,0.77,5.33,3.6,0.89,2.14,1.77
design_0031,0.55,0.59,0.82,nan,nan,nan,0.46,0.68,15.41,8.38,0.9,32.88,16.64
design_0032,0.55,0.59,2.29,nan,nan,nan,0.78,1.57,3.64,3.01,0.89,1.01,1.73
design_0033,0.84,0.51,3.33,nan,nan,nan,1.06,2.26,9.65,6.03,0.86,1.57,2.65
design_0034,0.63,0.69,2.03,nan,nan,nan,0.72,1.43,13.32,7.49,0.89,34.21,14.31
design_0035,0.66,0.7,4.22,nan,nan,nan,1.3,2.83,15.19,8.43,0.88,18.8,10.09
design_0036,0.68,0.57,2.8,nan,nan,nan,0.9,1.9,3.24,2.65,0.9,1.29,2.19
design_0037,0.77,0.87,1.33,nan,nan,nan,0.58,1.07,15.05,8.25,0.89,11.36,9.98
design_0038,0.59,0.52,1.09,nan,nan,nan,0.49,0.83,3.44,2.72,0.9,1.37,1.78
design_0039,0.5,0.55,4.2,nan,nan,nan,1.28,2.8,3.15,2.48,0.91,1.61,2.94
design_0040,0.69,0.65,0.78,nan,nan,nan,0.46,0.71,4.03,2.96,0.9,1.2,1.05
design_0041,0.64,0.63,0.79,nan,nan,nan,0.46,0.7,4.06,2.95,0.9,1.28,1.08
design_0042,0.62,0.79,0.69,nan,nan,nan,0.46,0.7,3.44,2.64,0.9,1.02,0.87
design_0043,0.8,0.4,0.98,nan,nan,nan,0.49,0.79,5.37,3.61,0.89,3.04,2.41
design_0044,0.73,0.63,0.71,nan,nan,nan,0.45,0.69,3.38,2.64,0.9,0.68,0.68
design_0045,0.7,0.43,0.72,nan,nan,nan,0.43,0.64,3.93,2.89,0.9,0.83,0.79
