tag,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd
design_0000,1.08,1.26,0.83,nan,nan,nan,0.6,1.07,17.3,7.58,0.92,16.39,18.02
design_0001,1.41,0.7,2.23,nan,nan,nan,0.81,1.57,17.21,7.52,0.92,17.24,19.06
design_0002,1.12,0.69,0.88,nan,nan,nan,0.53,0.93,18.6,8.11,0.92,22.46,17.24
design_0003,1.05,0.64,0.96,nan,nan,nan,0.52,0.91,17.51,7.67,0.92,29.63,18.36
design_0004,1.13,0.65,0.64,nan,nan,nan,0.49,0.86,17.69,7.72,0.92,15.24,12.81
design_0005,0.91,0.54,0.64,nan,nan,nan,0.44,0.73,17.39,7.61,0.92,11.57,9.1
design_0006,1.22,0.57,2.12,nan,nan,nan,0.75,1.44,17.51,7.65,0.92,14.97,15.92
design_0007,1.09,0.5,0.77,nan,nan,nan,0.5,0.84,17.76,7.79,0.92,25.02,16.92
design_0008,0.59,0.49,0.92,nan,nan,nan,0.46,0.68,16.87,7.37,0.92,28.11,16.0
design_0009,0.51,0.39,0.87,nan,nan,nan,0.47,0.62,17.1,7.47,0.92,27.47,19.29
design_0010,0.45,0.49,0.88,nan,nan,nan,0.48,0.63,16.7,7.32,0.92,26.71,18.94
design_0011,0.41,0.4,0.82,nan,nan,nan,0.46,0.57,16.85,7.37,0.92,26.01,20.63
design_0012,0.52,0.5,0.87,nan,nan,nan,0.47,0.65,17.54,7.66,0.92,22.03,12.42
design_0013,0.5,0.41,1.02,nan,nan,nan,0.48,0.69,16.81,7.36,0.92,28.0,19.92
design_0014,0.47,0.48,0.82,nan,nan,nan,0.45,0.61,16.85,7.38,0.92,24.32,18.31
design_0015,0.45,0.46,0.98,nan,nan,nan,0.48,0.66,16.76,7.33,0.92,26.65,19.14
design_0016,0.52,0.84,0.81,nan,nan,nan,0.52,0.75,13.29,6.08,0.91,9.81,9.98
design_0017,0.86,0.64,0.88,nan,nan,nan,0.56,0.82,11.82,5.46,0.91,10.31,8.33
design_0018,0.48,0.86,0.82,nan,nan,nan,0.52,0.75,13.47,6.17,0.91,9.28,7.33
design_0019,0.75,0.6,0.81,nan,nan,nan,0.55,0.75,9.24,4.4,0.9,10.96,7.57
design_0020,0.71,0.66,1.01,nan,nan,nan,0.55,0.86,5.48,2.83,0.91,10.27,7.82
design_0021,0.86,0.54,0.94,nan,nan,nan,0.58,0.84,12.9,5.93,0.91,10.93,9.1
design_0022,0.61,0.78,0.93,nan,nan,nan,0.54,0.82,11.72,5.43,0.91,10.91,9.83
design_0023,0.43,0.65,0.79,nan,nan,nan,0.47,0.68,16.69,7.5,0.91,17.59,12.94
design_0024,0.51,0.39,0.78,nan,nan,nan,0.47,0.59,17.63,7.73,0.92,23.17,23.63
